1152,SECBUTABARBITAL
1153,VINILBITAL
1155,DACTINOMICINA
1156,BROMURO DE BENCILONIO
1157,LEVOFACETOPERANO
1159,DROSTANOLONA
1160,NICOTINATO DE INOSITOL
1161,APROBARBITAL
1162,CETOXIMA
1164,ETEBENECIDA
1165,MORAZONA
1166,POLINOXILINA
1167,BACITRACINA
1168,CLORURO DE BENZALCONIO
1170,CLORURO DE BENCETONIO
1171,PROLINTANO
1172,CLORURO DE BENZODODECINIO
1173,SULFACARBAMIDA
1174,ETAMIVAN
1176,ETOMOXANO
1178,BROMURO DE TRIMEDOXIMA
1179,CARFENAZINA
118,CLORURO DE METILBENCETONIO
1180,BENCILSULFAMIDA
1181,MECLOXAMINA
1182,CAMILOFINA
1183,CLOFENETAMINA
1184,CARTRIZOATO DE ETILO
1186,CLORALODOL
1187,POLITIAZIDA
1188,TOZALINONA
1189,ACIDO AMINOCAPROICO
119,METENAMINA
1190,ACIDO FOSCOLICO
1191,MEBEVERINA
1192,EPIESTRIOL
1193,BETAMEPRODINA
1194,DIBUNATO DE ETILO
1195,GLISOBUZOL
1196,PRENILAMINA
1197,TOLPENTAMIDA
1201,CINTRAMIDA
1202,CLOSILATO DE TENIO
1203,BIOTINA
1204,FENIRAMIDOL
1205,INDOPINA
1206,BENCINDOPIRINA
1207,ANFECLORAL
1208,OXIMESTERONA
121,NITROSULFATIAZOL
1210,CLORMADINONA
1211,HIDROMADINONA
1212,CISMADINONA
1213,NORACIMETADOL
1215,MECLOCUALONA
1216,MEFECLORAZINA
1217,FENOXAZOLINA
1218,PSILOCIBINA
1219,BROMURO DE OXIPIRRONIO
122,SULFACETAMIDA
1220,MOROXIDINA
1222,LINESTRENOL
1223,METENOLONA
1224,MEBUTAMATO
1226,TRICLOFENOL PIPERAZINA
1228,ISOPROPICILINA
1229,TIFENCILINA
123,ESTIBAMINA GLUCOSIDO
1230,CICLOPENTIAZIDA
1231,BROMISOVAL
1233,IOFENDILATO
1234,NOXITIOLINA
1235,FENOXIPROPAZINA
1236,PROPATILNITRATO
1237,XANTOCILINA
1238,METANFAZONA
1239,TIROPANOATO DE SODIO
1240,DIFEBARBAMATO
1242,BROMINDIONA
1243,FEBARBAMATO
1244,BROXIQUINOLINA
1245,ETAMINILO
1247,ETIBENZATROPINA
1249,NICOCODINA
1251,ZILOFURAMINA
1253,BROMCLORENONA
1254,XENISALATO
1256,MELARSONILO DE POTASIO
1257,NORETINODREL
1258,PRISTINAMICINA
1259,BROMURO DE PROPIROMAZINA
1260,PANTOTENATO DE CALCIO
1261,RUFOCROMOMICINA
1262,TECLOTIAZIDA
1263,BROMURO DE BIBENZONIO
1264,DIETADIONA
1266,TRIAMTERENO
1267,VISTATOLON
1268,CARAMIFENO
1269,VIRGINIAMICINA
1270,PIPACICLINA
1271,PENIMEPICICLINA
1272,DEFOSFAMIDA
1273,TOLBOXANO
1274,CETOBEMIDONA
1275,PROSULTIAMINA
1276,ETRIPTAMINA
1277,SULFAMOXOL
128,MORRUATO DE SODIO
1280,BROMURO DE HEXOPIRRONIO
1281,HALETAZOL
1282,ACETATO DE LAUROLINIO
1283,BUCETINA
1284,TIGLOIDINA
1285,BAMIPINA
1286,FENCANFAMINA
1289,HEPTOLAMIDA
1291,AZATIOPRINA
1293,OXIPERTINA
1294,DIAZOXIDO
1295,DIAZEPAM
1296,TOLAZAMIDA
1297,OXIDO DE ATROPINA
1298,CLORURO DE CETILPIRIDINIO
1299,METETOINA
130,TETRADECILSULFATO DE SODIO
1300,BENFOTIAMINA
1301,CLORCICLIZINA
1303,AZATEPA
1304,CLOXESTRADIOL
1305,CLOXOTESTOSTERONA
1306,ROFLURANO
1307,DISOPIRAMIDA
1308,PIRITINOL
1309,CLOMIFENO
131,METILBROMURO DE HOMATROPINA
1310,BENZPIPERILONA
1311,VANILDISULFAMIDA
1313,LEVANFETAMINA
1314,CLORNAFAZINA
1315,CLOPENTIXOL
1316,ACONIAZIDA
1317,GLICICLAMIDA
1318,TRIHEXIFENIDILO
1319,CLORACIZINA
1320,PRIDINOL
1321,CLOROPIRILENO
1322,GLUCONATO DE COLINA
1323,LEVOPROPICILINA
1324,FENCARBAMIDA
1325,OXANDROLONA
1326,CLOMETOCILINA
1327,SOLIPERTINA
1328,NORTRIPTILINA
1329,URETANO
133,IODURO DE FURTRETONIO
1331,DEPTROPINA
1332,CINCOFENO
1333,BROMACRILIDA
1334,OXICLIPINA
1335,SULFAMETOXIDIAZINA
1337,FLUROTILO
1338,IODURO DE ESTILBAZIO
1339,AMPICILINA
134,BROMURO DE BENZOPIRINIO
1341,DROXIPROPINA
1342,OXETACAINA
1343,PIRITRAMIDA
1344,TIROTRICINA
1346,TOLPROPAMINA
1347,TOSILATO DE TROXONIO
1348,TOSILATO DE TROXIPIRROLIO
1349,OXIFENAMATO
135,CICLOPENTAMINA
1350,PARGILINA
1351,URAMUSTINA
1352,FLUPREDNISOLONA
1353,TOLPOVIDONA (131I)
1354,OXIBUTININA
1355,FLUMETASONA
1357,CLODACAINA
1358,COCARBOXILASA
1359,FELIPRESINA
136,HIDROXIANFETAMINA
1360,LUCIMICINA
1362,TOLPIRRAMIDA
1363,PIRROCAINA
1364,NONAPIRIMINA
1365,DIPROFILINA
1366,CORTICOTROPINA
1367,ACECLIDINA
1368,CORTISONA
1369,CIANOCOBALAMINA
137,METOXIFENAMINA
1370,TRICLOFENATO DE ALAZANINA
1371,ACIDO IOTALAMICO
1372,OXACILINA
1373,ALOXIPRINA
1375,MECISTEINA
1376,PENTALAMIDA
1377,FENBENICILINA
1378,METRIZOATO DE SODIO
1379,EPITIZIDA
1380,AZOTOMICINA
1382,ALTIZIDA
1383,DUAZOMICINA
1384,ISOETARINA
1385,BUFENADRINA
1386,SULFAMETOXAZOL
1387,PIMETINA
1388,CLOBENZOTROPINA
1389,CICLARBAMATO
139,FENPROMETAMINA
1390,CICLOMENOL
1391,ETIMEMAZINA
1392,GALANTAMINA
1393,HEXAMIDINA
1394,CICLOBARBITAL
1395,CICLOPROPANO
1396,CLOFENAMIDA
1397,BROMURO DE DECAMETONIO
1399,SULFAPERINA
14,TIALBARBITAL
140,TUAMINOHEPTANO
1400,OXIMETAZOLINA
1402,BENZQUINAMIDA
1403,DIMETINDENO
1404,METIRAPONA
1405,OXIPENDILO
1406,BETOXICAINA
1407,BUTAVERINA
1410,BUTIZIDA
1411,LEIOPIRROL
1412,OXOMEMAZINA
1413,GLUTAMINA
1414,TRIMIPRAMINA
1416,PROPETANDROL
1419,LINCOMICINA
1420,ESPARSOMICINA
1421,FLUOROURACILO
1422,MOLINAZONA
1423,METUREDEPA
1424,TIFENAMILO
1425,UREDEPA
